11566,The Green Mile,Stephen King,"King, Stephen",,"=""0451933028""","=""9780451933027""",4,4.44,Penguin Signet,Paperback,592,1996,1996,2017/10/19,2017/09/14,,,read,,,,1,,,0,,,,,
1611810,The Blue Umbrella,Ruskin Bond,"Bond, Ruskin",,"=""8171673406""","=""9788171673407""",2,4.23,Rupa Publications,Paperback,83,,1980,2017/10/11,2016/12/08,,,read,,,,1,,,0,,,,,
7624251,The Allegory of the Cave,Plato,"Plato, Plato",,"=""""","=""""",2,4.31,,,,,-380,,2017/08/04,,,read,,,,1,,,0,,,,,
27406704,Britt-Marie Was Here,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1501142534""","=""9781501142536""",3,4.07,Atria Books,Hardcover,324,2016,2014,2017/10/11,2017/09/19,,,read,,,,1,,,0,,,,,
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",3,4.16,HarperCollins Publishers,Paperback,347,2007,1934,,2016/12/08,,,read,,,,1,,,0,,,,,
32542,"A Time to Kill (Jake Brigance, #1)",John Grisham,"Grisham, John",,"=""""","=""""",3,4.06,Dell,Paperback,515,2004,1989,2017/10/09,2016/11/16,,,read,,,,1,,,0,,,,,
1809465,"Rodrick Rules (Diary of a Wimpy Kid, #2)",Jeff Kinney,"Kinney, Jeff",,"=""0810994739""","=""9780810994737""",2,4.11,Amulet Books,Hardcover,224,2008,2008,2017/09/01,2017/08/29,,,read,,,,1,,,0,,,,,
33413128,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",Neil Smith,"=""""","=""""",4,4.28,Simon & Schuster,Kindle Edition,432,2017,2016,2017/10/05,2017/09/19,,,read,,,,1,,,0,,,,,
10065,Wayside School Is Falling Down (Wayside School #2),Louis Sachar,"Sachar, Louis",Joel Schick,"=""0380731509""","=""9780380731503""",1,4.17,Avon Camelot,Paperback,152,1990,1989,2017/09/21,2017/09/07,,,read,,,,1,,,0,,,,,
575928,Becoming Like God: Kabbalah and Our Ultimate Destiny,Michael  Berg,"Berg, Michael",,"=""1571892427""","=""9781571892423""",5,3.98,Kabbalah Publishing,Hardcover,170,2004,2004,2017/09/26,2017/09/26,,,read,,,,2,,,0,,,,,
15673,"Wayside School Gets A Little Stranger (Wayside School, #3)",Louis Sachar,"Sachar, Louis",,"=""0747569118""","=""9780747569114""",2,4.19,Bloomsbury U.S.A. Children's Books,Paperback,176,2004,1995,2017/09/28,2017/09/07,,,read,,,,1,,,0,,,,,
11104209,Romancing The Balance Sheets,Anil Lamba,"Lamba, Anil",,"=""9380200129""","=""9789380200125""",4,4.16,Network 18 Publications Ltd,Hardcover,,2010,2010,2017/09/28,2017/09/26,,,read,,,,1,,,0,,,,,
389627,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,"Kinney, Jeff",,"=""0810993139""","=""9780810993136""",2,3.97,Amulet Books,Hardcover,217,2007,2004,2017/08/29,2017/08/02,,,read,,,,1,,,0,,,,,
25855506,"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,"Andersen, Sarah",,"=""1449474195""","=""9781449474195""",2,4.11,Andrews McMeel Publishing,Paperback,112,2016,2016,,2017/09/22,,,read,,,,1,,,0,,,,,
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",5,4.36,Atria Books,Hardcover,337,2014,2012,2017/09/22,2017/09/12,,,read,,,,1,,,0,,,,,
12820793,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,"Tripathi, Amish",,"=""9382618341""","=""9789382618348""",3,3.73,Westland,Paperback,575,2013,2013,2015/08/11,2015/08/02,,,read,,,,1,,,0,,,,,
